카테고리,goods_no,brand,name,price_org,price_cur,score,review_count,tags,link,img_url
영양제,A000000246049,바이오렉트라,바이오렉트라 아연+셀레늄 5050mg 20포 (20일분),66000,59400,4.9,80,"세일, 오늘드림",https://www.oliveyoung.co.kr/store/goods/getGoodsDetail.do?goodsNo=A000000246049,https://image.oliveyoung.co.kr/cfimages/cf-goods/uploads/images/thumbnails/400/10/0000/0024/A00000024604903ko.jpg?l=ko
영양제,A000000227457,알디콤,[1+1]알디콤 Plus 숙취해소제 21ml 4포입,,17300,4.9,999+,"1+1, 오늘드림",https://www.oliveyoung.co.kr/store/goods/getGoodsDetail.do?goodsNo=A000000227457,https://image.oliveyoung.co.kr/cfimages/cf-goods/uploads/images/thumbnails/400/10/0000/0022/A00000022745730ko.png?l=ko
영양제,A000000173904,종근당건강,프로메가 알티지 오메가3 듀얼 40 캡슐 더블 기획세트 (40일분),29800,9900,4.9,999+,"세일, 쿠폰, 오늘드림",https://www.oliveyoung.co.kr/store/goods/getGoodsDetail.do?goodsNo=A000000173904,https://image.oliveyoung.co.kr/cfimages/cf-goods/uploads/images/thumbnails/400/10/0000/0017/A00000017390421ko.jpg?l=ko
영양제,A000000246134,바이오렉트라,바이오렉트라 마그네슘 400 울트라 다이렉트,35000,31500,4.9,121,"세일, 오늘드림",https://www.oliveyoung.co.kr/store/goods/getGoodsDetail.do?goodsNo=A000000246134,https://image.oliveyoung.co.kr/cfimages/cf-goods/uploads/images/thumbnails/400/10/0000/0024/A00000024613410ko.jpg?l=ko
영양제,A000000247884,대원제약,[올영단독/수면 효율증가]대원제약 대원헬스 꿀잠샷 20gX12포 (12일분),,26900,5.0,999+,오늘드림,https://www.oliveyoung.co.kr/store/goods/getGoodsDetail.do?goodsNo=A000000247884,https://image.oliveyoung.co.kr/cfimages/cf-goods/uploads/images/thumbnails/400/10/0000/0024/A00000024788420ko.jpg?l=ko
영양제,A000000250739,대원제약,[올영단독/코상태개선] 대원제약 대원헬스 삼백초추출물 코편샷20g x 12포(12일분),26900,20500,5.0,934,"세일, 오늘드림",https://www.oliveyoung.co.kr/store/goods/getGoodsDetail.do?goodsNo=A000000250739,https://image.oliveyoung.co.kr/cfimages/cf-goods/uploads/images/thumbnails/400/10/0000/0025/A00000025073905ko.jpg?l=ko
영양제,A000000223554,멜라메이트,[포켓몬 에디션] 식물성 멜라토닌 함유 멜라메이트 구미/로우슈가 구미 20/40/50구미 (+잠만보 말랑볼),,13000,4.8,999+,오늘드림,https://www.oliveyoung.co.kr/store/goods/getGoodsDetail.do?goodsNo=A000000223554,https://image.oliveyoung.co.kr/cfimages/cf-goods/uploads/images/thumbnails/400/10/0000/0022/A00000022355437ko.jpg?l=ko
영양제,A000000245874,올더베러,올더베러 웰니스 구미 30일분 6종 택1,,14900,4.8,999+,오늘드림,https://www.oliveyoung.co.kr/store/goods/getGoodsDetail.do?goodsNo=A000000245874,https://image.oliveyoung.co.kr/cfimages/cf-goods/uploads/images/thumbnails/400/10/0000/0024/A00000024587408ko.jpg?l=ko
영양제,A000000198838,알디콤,[1+1]알디콤 숙취해소제 15ml 4포입,,14800,4.9,999+,"1+1, 오늘드림",https://www.oliveyoung.co.kr/store/goods/getGoodsDetail.do?goodsNo=A000000198838,https://image.oliveyoung.co.kr/cfimages/cf-goods/uploads/images/thumbnails/400/10/0000/0019/A00000019883871ko.png?l=ko
영양제,A000000201188,고려은단,고려은단 식물성 알티지 오메가3 30캡슐 (30일분),12900,9900,4.9,999+,"세일, 오늘드림",https://www.oliveyoung.co.kr/store/goods/getGoodsDetail.do?goodsNo=A000000201188,https://image.oliveyoung.co.kr/cfimages/cf-goods/uploads/images/thumbnails/400/10/0000/0020/A00000020118809ko.jpg?l=ko
