시도시군구명,KFC,롯데리아,맥도날드,버거킹,총계,버거지수,위도,경도,시군구코드
강원특별자치도 강릉시,0,7,2,1,10,0.4285714285714285,37.76190085091195,128.89664279394952,51150
강원특별자치도 고성군,0,1,0,0,1,0.0,38.3792543373206,128.468258096013,51820
강원특별자치도 동해시,0,2,1,0,3,0.5,37.5208529039447,129.113106651212,51170
강원특별자치도 삼척시,0,1,0,0,1,0.0,37.443544630177,129.164139891173,51230
강원특별자치도 속초시,1,3,2,0,6,1.0,38.1898762257691,128.588355449986,51210
강원특별자치도 양구군,0,1,0,0,1,0.0,38.1066013872932,127.989519374534,51800
강원특별자치도 양양군,0,1,0,0,1,0.0,38.0779083636879,128.626444567327,51830
강원특별자치도 영월군,0,1,0,0,1,0.0,37.1834291652136,128.466384565066,51750
강원특별자치도 원주시,1,10,0,3,14,0.4,37.34170115066195,127.9381870546235,51130
강원특별자치도 인제군,0,2,0,0,2,0.0,38.0944329077531,128.18886827932,51810
강원특별자치도 정선군,0,1,0,0,1,0.0,37.2075557934113,128.844203098227,51770
강원특별자치도 철원군,0,2,0,0,2,0.0,38.2242880517538,127.328450316933,51780
강원특별자치도 춘천시,1,4,2,3,10,1.5,37.87047440536105,127.744599081136,51110
강원특별자치도 태백시,0,1,0,0,1,0.0,37.1766172735707,128.991155575914,51190
강원특별자치도 평창군,0,3,0,0,3,0.0,37.5824602779446,128.326874156543,51760
강원특별자치도 홍천군,0,2,0,1,3,0.5,37.6523367654114,127.687339671574,51720
강원특별자치도 화천군,0,2,0,0,2,0.0,38.0876436474519,127.6135120297145,51790
강원특별자치도 횡성군,0,1,0,0,1,0.0,37.4897543348234,127.986355874382,51730
경기도 가평군,0,4,0,0,4,0.0,37.7792775854123,127.457072304341,41820
경기도 고양시 덕양구,2,10,8,8,28,1.8,37.6338387182189,126.843969792509,41281
경기도 고양시 일산동구,2,5,4,5,16,2.2,37.6597113857528,126.783325616316,41285
경기도 고양시 일산서구,3,7,4,3,17,1.4285714285714286,37.6789883934697,126.76200410079,41287
경기도 과천시,0,0,2,0,2,2.0,37.4262958448027,126.99185423805,41290
경기도 광명시,2,6,6,2,16,1.6666666666666667,37.47200908055075,126.868626107195,41210
경기도 광주시,1,9,1,2,13,0.4444444444444444,37.3813525854347,127.25637148898,41610
경기도 구리시,1,4,1,3,9,1.25,37.604242631792,127.137697077431,41310
경기도 군포시,2,4,1,2,9,1.25,37.3599965494097,126.931424893407,41410
경기도 김포시,3,9,5,5,22,1.4444444444444444,37.6428508992975,126.67067309632,41570
경기도 남양주시,5,16,5,6,32,1.0,37.6541046419542,127.203604208058,41360
경기도 동두천시,0,2,3,0,5,1.5,37.8921618055659,127.057332274805,41250
경기도 부천시 소사구,2,3,3,3,11,2.6666666666666665,37.4836108561107,126.809530735665,41194
경기도 부천시 오정구,0,3,1,1,5,0.6666666666666666,37.5196592404951,126.80441043595,41196
경기도 부천시 원미구,4,7,5,4,20,1.8571428571428568,37.50206702494455,126.770672457356,41192
경기도 성남시 분당구,4,3,6,4,17,4.666666666666667,37.3782172789291,127.113553412657,41135
경기도 성남시 수정구,2,4,1,3,10,1.5,37.44780889247775,127.14134065103951,41131
경기도 성남시 중원구,1,4,0,0,5,0.25,37.4405611042644,127.158361647432,41133
경기도 수원시 권선구,1,9,4,4,18,1.0,37.2590800822445,126.9731439620995,41113
경기도 수원시 영통구,2,4,5,4,15,2.75,37.2529312701648,127.054998893965,41117
경기도 수원시 장안구,0,7,4,3,14,1.0,37.29817551609615,127.0021542720235,41111
경기도 수원시 팔달구,3,4,3,3,13,2.25,37.2706741967202,127.028045430767,41115
