Rank,PreviousRank,Period,BookID,Title,Subtitle,ISBN,CmdtCode,ReleaseDate,Publisher,Author,Price,SalePrice,DiscountRate,Score,ReviewCount
1,1,2026061020260616,S000219929026,클로드 코드로 시작하는 실전 에이전틱 코딩,"완벽한 통제를 위한 AI 개발팀 구축 가이드, 하네스 엔지니어링, 에이전트 오케스트레이션, MoAI-ADK",8966265340,9788966265343,20260521,더 타이즈,Goos Kim,33000,29700,10.0,9.9,44
2,2,2026061020260616,S000220048885,하네스 엔지니어링 with 클로드 코드,AI 에이전트 팀을 설계하고 운영하는 개발자 실전 가이드,1175790591,9791175790599,20260611,한빛미디어,황민호,30000,27000,10.0,10.0,1
3,3,2026061020260616,S000219916961,"바로바로 클로드 with 코워크, 스킬, 클로드 코드, 디자인","인공지능, 에이전트, 커넥터, 플러그인, 아티팩트, 스케줄링, 디스패치, 하네스, 바로 배우고 바로 써먹는 AI 입문서",1124516131,9791124516133,20260520,골든래빗(주),차진우,28000,25200,10.0,10.0,6
4,5,2026061020260616,S000218736039,2026 이지패스 ADsP 데이터분석 준전문가,,1158396511,9791158396510,20260102,위키북스,박현민 외,30000,27000,10.0,9.9,301
5,4,2026061020260616,S000218728879,혼자 공부하는 바이브 코딩 with 클로드 코드,AI와 1:1 대화하며 배우는 첫 코딩 자습서,1199529842,9791199529847,20251216,한빛미디어,조태호,30000,27000,10.0,9.4,57
6,6,2026061020260616,S000220054039,"조코딩의 바이브 코딩 1인 창업 with 클로드 코드, 수파베이스, 스트라이프",기획부터 엑시트까지 코드 한 줄 없이 글로벌 매출을 만드는 1인 프로덕트 빌더 풀코스,1175790567,9791175790568,20260525,한빛미디어,조동근,30000,27000,10.0,9.4,5
7,7,2026061020260616,S000218090666,2026 한 권으로 끝내는 시나공 컴활 2급 필기+실기,,1140715887,9791140715886,20251015,길벗,길벗알앤디,27000,24300,10.0,9.6,57
8,10,2026061020260616,S000220042183,2026 수제비 정보처리기사 실기 Final 모의고사,"모의고사 30회, 기출문제(20년~26년 1회까지)",1199730130,9791199730137,20260615,수제비출판사,윤영빈 외,34000,30600,10.0,10.0,3
9,9,2026061020260616,S000219916946,바로바로 제미나이 X 구글 AI,"구글 웍스, 노트북LM, 딥 리서치, 플로우, 구글 AI 스튜디오, 나노 바나나, 스티치, 오팔 바로 배우고 바로 써먹는 AI 입문서",1124516158,9791124516157,20260601,골든래빗(주),공냥이,24000,21600,10.0,10.0,7
10,8,2026061020260616,S000219142807,이게 되네? 제미나이 완전 미친 활용법 81제,"노바나나, 노트북LM, 오팔, Veo, Flow까지, 진짜 실무에서 쓰는 Gemini 최강 활용법! 할 일, 조직 관리, 협업, AI 메모, AI 회의, 챗봇, AI 자동화 앱, 이미지 생성, 영상 제작까지 일잘러 오대리의 인공지능 퍼펙트 활용 노하우",1194383793,9791194383796,20260210,골든래빗(주),오힘찬,24000,21600,10.0,9.7,47
11,11,2026061020260616,S000217187013,2026 이기적 컴퓨터활용능력 2급 필기+실기 올인원,,8931479360,9788931479362,20250822,영진닷컴,홍태성 외,29000,26100,10.0,9.7,54
12,14,2026061020260616,S000220000024,일 잘하는 직장인의 AI 활용법,"구글 제미나이, 노트북LM, 나노바나나, 챗GPT, 클로드, 퍼플렉시티, Flow, Gems, 딥 리서치, 캡컷, Make 등 상황별로 골라 쓰는 AI 업무 툴 완전 가이드",8960885134,9788960885134,20260601,디지털북스,김덕중 외,22000,19800,10.0,10.0,5
13,15,2026061020260616,S000212021705,SQL 자격검정 실전문제,,8988474910,9788988474914,20231229,한국데이터산업진흥원,한국데이터산업진흥원,18000,18000,0.0,9.8,190
14,12,2026061020260616,S000219725328,클로드 코드 마스터,기획·개발·운영이 한 번에 끝나는 AI 에이전틱 코딩 워크플로,1175790516,9791175790513,20260424,한빛미디어,이남희 외,36000,32400,10.0,10.0,18
