순위,상품번호,도서명,부제목,저자,출판사,출판일,할인율,판매가,정가,판매지수,리뷰수,평점
1,167573138,혼자 공부하는 바이브 코딩 with 클로드 코드,AI와 1:1 대화하며 배우는 첫 코딩 자습서,조태호,한빛미디어,2025년 12월,10%,"27,000원","30,000원","70,965",165,9.9
2,176901674,이게 되네? 제미나이 완전 미친 활용법 81제,"나노바나나, 노트북LM, 오팔, Veo, Flow까지, 진짜 실무에서 쓰는 Gemini 최강 활용법! 할 일, 조직 관리, 협업, AI 메모, AI 회의",오힘찬,골든래빗,2026년 02월,10%,"21,600원","24,000원","78,132",161,9.8
3,189818905,하네스 엔지니어링 with 클로드 코드,AI 에이전트 팀을 설계하고 운영하는 개발자 실전 가이드,황민호,한빛미디어,2026년 06월,10%,"27,000원","30,000원","16,035",5,10.0
4,189114943,"바로바로 클로드 with 코워크, 스킬, 클로드 코드, 디자인","인공지능, 에이전트, 커넥터, 플러그인, 아티팩트, 스케줄링, 디스패치, 하네스, 바로 배우고 바로 써먹는 AI 입문서",차진우,골든래빗,2026년 05월,10%,"25,200원","28,000원","24,087",2,10.0
5,189211422,클로드 코드로 시작하는 실전 에이전틱 코딩,"완벽한 통제를 위한 AI 개발팀 구축 가이드, 하네스 엔지니어링, 에이전트 오케스트레이션, MoAI-ADK",Goos Kim,더 타이즈,2026년 05월,10%,"29,700원","33,000원","24,849",11,10.0
6,189855418,"조코딩의 바이브 코딩 1인 창업 with 클로드 코드, 수파베이스, 스트라이프",기획부터 엑시트까지 코드 한 줄 없이 글로벌 매출을 만드는 1인 프로덕트 빌더 풀코스,조동근,한빛미디어,2026년 05월,10%,"27,000원","30,000원","18,405",6,10.0
7,169849422,"요즘 교사를 위한 에듀테크 5대장 : 캔바, 패들렛, 북크리에이터, 노션, 챗GPT∙제미나이","수업준비, 학급경영, 행정업무, 상담, 연수준비, 개인업무, 교사협업, 바이브코딩 어떻게 활용했고, 어떻게 활용할 수 있는지!","안익재,황의태",앤써북,2025년 12월,10%,"17,820원","19,800원","37,170",92,10.0
8,189212536,지적 대화를 위한 AI 언어 수업,생각을 확장하는 프롬프트의 기술,강수진,어웨이크(AWAKE),2026년 05월,10%,"18,000원","20,000원","11,346",0,
9,150566390,"AI 시대의 질문력, 프롬프트 엔지니어링",,류한석,코리아닷컴(Korea.com),2025년 08월,10%,"24,300원","27,000원","67,866",61,9.5
10,188182444,된다! 캡컷 영상 편집,"긴 유튜브 영상도 쇼츠·릴스도 OK! 크로마키, 자동 자막부터 AI 더빙까지 64개 예제로 전문 편집 기법 완전 정복!",지민이,이지스퍼블리싱,2026년 05월,10%,"19,800원","22,000원","10,995",17,10.0
11,186846424,클로드 코드 마스터,기획·개발·운영이 한 번에 끝나는 AI 에이전틱 코딩 워크플로,"이남희,백승현",한빛미디어,2026년 04월,10%,"32,400원","36,000원","15,810",24,9.8
12,183751609,한눈에 보는 AI 반도체 산업,,MrTrigger,한빛미디어,2026년 03월,10%,"23,400원","26,000원","11,631",148,9.9
13,106711883,진짜 쓰는 실무 엑셀,"유튜브 대표 엑셀 채널, 오빠두가 알려 주는 엑셀 함수, 보고서 작성, 데이터 분석 노하우!",전진권,제이펍,2022년 02월,10%,"18,900원","21,000원","69,048",388,9.8
14,189114942,바로바로 제미나이 X 구글 AI,"구글 웍스, 노트북LM, 딥 리서치, 플로우, 구글 AI 스튜디오, 나노 바나나, 스티치, 오팔 바로 배우고 바로 써먹는 AI 코딩 입문서",공냥이,골든래빗,2026년 06월,10%,"21,600원","24,000원","7,641",1,10.0
15,163301895,된다! 하루 만에 끝내는 제미나이 활용법,"보고서, 이미지 생성 등 70가지 예제 수록! 노트북LM, 구글 AI 스튜디오, 나노 바나나를 한 권에!",권서림,이지스퍼블리싱,2025년 11월,10%,"18,000원","20,000원","74,139",78,9.8
16,189413191,요즘 교사를 위한 AI 바이브 코딩 활용 가이드 with 2022 개정 교육과정,"챗GPT·제미나이 캔버스부터 볼트, 러버블, AI 스튜디오, 구글 안티그래비티까지, 설치 없이, 코딩 없이, 대화만으로 완성하는 나만의 AI 수업 도구","공지훈,곽수창,박준효",한빛미디어,2026년 05월,10%,"19,800원","22,000원","9,207",103,9.9
17,119293186,Do it! 점프 투 파이썬,중학생도 첫날부터 실습하는 초고속 입문서,박응용,이지스퍼블리싱,2023년 06월,10%,"19,800원","22,000원","43,791",147,9.7
18,190419762,생존을 위한 최소한의 AI 교양,"챗GPT의 원리부터 AI 혼자 일하는 미래까지, 기본을 모른 채 남들만 따라했던 당신이 가장 먼저 읽어야 할 책",조남호,골든래빗,2026년 06월,10%,"22,500원","25,000원","3,045",22,9.9
19,183545796,제미나이 교사 마스터 플랜 (2026년 최신판),"구글공인트레이너 교사의 AI 수업_나노 바나나, 노트북LM, 구글 AI 스튜디오, 캔바 코드, 바이브 코딩, 앱스 스크립트",한민철,책바세,2026년 04월,10%,"27,000원","30,000원","9,312",26,10.0
20,143907967,된다! 조회수 터지는 유튜브 쇼츠 만들기,구독자 없어도 알고리즘 탄다! AI로 영상 빠르게 만들어 수익화까지!,최지영,이지스퍼블리싱,2025년 04월,10%,"19,800원","22,000원","28,350",62,9.9
21,190216116,"캔바로 만든 디자인, 돈이 됩니다","기획 및 포트폴리오부터 템플릿, 콘텐츠 판매까지 캔바 앰배서더 리몬이 알려주는",리몬(안형선),길벗,2026년 06월,10%,"19,800원","22,000원","2,964",12,10.0
22,183674597,"클로드 코워크 with 스킬, 플러그인",퇴근을 앞당기는 완벽한 업무 자동화,"클리커,강민혁",한빛미디어,2026년 03월,10%,"23,400원","26,000원","13,299",23,9.1
23,189531001,일 잘하는 직장인의 AI 활용법,"구글 제미나이, 노트북LM, 나노바나나, 챗GPT, 클로드, 퍼플렉시티, Flow, Gems, 딥 리서치, 캡컷, Make 등 상황별로 골라 쓰는 AI 업무 툴 완전 가이드","김덕중,김민정,김인선",디지털북스,2026년 05월,10%,"19,800원","22,000원","4,758",0,
24,185897982,바쁜 교사를 위한 바로 쓰는 AI,"수업 설계부터 학생 평가, 행정 업무까지! AI로 완성하는 실무 활용법","전소영,이태화,조두연",사회평론아카데미,2026년 04월,10%,"21,600원","24,000원","16,713",19,10.0
25,188266803,AI시대에 난생처음 들어보는 데이터센터 이야기,,김주회,북플레이트,2026년 04월,10%,"19,800원","22,000원","11,421",6,10.0
26,190806231,요즘 바이브 코딩 하네스 with 클로드 코드,"AI 에이전트 엔지니어링, 서브에이전트 , 스킬, SDD, 리팩터링, 헤르메스, 워크트리, 코드 리뷰, 데이터베이스, 세션 관리, 메모리, 체크포인트, 워크플로, 코드 보안 프롬프트 X 컨텍스트 X 하네스 구축의 원리와",조성진,골든래빗,2026년 06월,10%,"27,000원","30,000원","2,424",0,
27,189128697,수업에 바로 쓰는 일잘러 선생님의 캔바 Canva 활용법,"수업 설계, 학급 운영, 행사 자료 제작부터 캔바 AI, 구글 클래스룸, 패들렛, 북 크리에이터 확장 기능까지 캔바로 완성하는 슬기로운 학교생활",황은지,제이펍,2026년 05월,10%,"19,800원","22,000원","5,865",33,9.9
28,187173505,바이브 코더를 위한 최소한의 AI/IT 지식,‘이게 왜 되지?’ 개발 안 해본 개발자의 난생처음 바이브 코딩 입문서,"클리커,이희영",한빛미디어,2026년 04월,10%,"19,800원","22,000원","7,572",52,10.0
29,145426898,요즘 교사를 위한 AI 수업 활용 가이드 with 2022 개정 교육과정,"챗GPT부터 캔바, 구글 스프레드시트, API 연동까지","박진환,공지훈,서원진",한빛미디어,2025년 05월,10%,"18,000원","20,000원","87,078",65,9.8
30,183538633,요즘 교사를 위한 에듀테크 수업 활용 가이드 with 2022 개정 교육과정,"챗GPT·블루킷·젭퀴즈·노션·캔바·구글 시트까지, 요즘 교실에 꼭 필요한 에듀테크 활용법","박진환,서원진,박권",한빛미디어,2026년 04월,10%,"21,600원","24,000원","10,977",123,9.9
31,189634812,교사를 위한 AI 에듀테크 수업·생활·업무 대백과,진짜 현장에 필요한 AI 디지털 핵심 도구 41선,"송해남,한의표,김은서,박수임,김혜진저 외 1명정보 더 보기/감추기송해남한의표김은서박수임김혜진유영재",프리렉,2026년 05월,10%,"24,300원","27,000원","5,313",20,10.0
32,187927629,AI 실전 마스터 칼릭스의 프롬프트 디테일,"크리에이티브 프레임워크, 워크플로우, AI 에이전트, 바이브코딩, 기획부터 코딩까지 바로 써먹는 기적의 프롬프트 템플릿",칼릭스(손윤석),한빛비즈,2026년 04월,10%,"19,800원","22,000원","8,862",12,9.7
33,174018513,AI 에이전트 엔지니어링,"단일 에이전트부터 멀티 에이전트 시스템까지, AI 앱 개발 올인원 가이드",마이클 알바다저/강민혁역,한빛미디어,2026년 01월,10%,"28,800원","32,000원","12,315",17,9.5
34,191018764,AI 생존 지도,질문 자본가의 시대,이석현,여림재,2026년 06월,10%,"18,000원","20,000원","3,273",3,10.0
35,187703288,만들면서 배우는 AI 에이전트 개발 입문+실전,"랭그래프로 완성하는 단계별 싱글·멀티 에이전트 시스템, LLM 라우팅부터 MCP와 A2A 실전 구현까지",박나연(공원나연),한빛미디어,2026년 05월,10%,"33,300원","37,000원","4,962",44,9.7
36,185166276,이게 되네? 오픈클로 미친 활용법 50제,"AI 에이전트, 자동화, 크롤링, 이메일, 캘린더, 카카오톡, PPT, 한글 문서, 옵시디언, 데이터 분석, SNS, 블로그, AI 전화까지 코딩 없이 50가지 업무를 자동화하는 스마트폰 속 나만의 AI 비서 실전 가이드",한준구,골든래빗,2026년 05월,10%,"21,600원","24,000원","10,899",9,9.8
37,189674360,"다시, 소프트웨어 엔지니어",AI 시대에도 결코 대체되지 않을 개발자의 기본 역량과 생존법,"네서니얼 슈타,댄 베가저/박성철역",책만,2026년 05월,10%,"27,000원","30,000원","5,976",0,
38,190278099,초보도 바로 되는 AI 콘텐츠,,"이도혜,김인호,문정수,바울,육화영저 외 7명정보 더 보기/감추기이도혜김인호문정수바울육화영이성열이수진이진영정지연노수승배경수김진선",미디어북,2026년 05월,,"20,000원","20,000원","2,160",39,10.0
39,191481932,"요즘 교사를 위한 구글 AI 3대장_제미나이, 노트북LM, AI 스튜디오","수업준비, 행정업무, 학급경영 내일 당장 쓸 수 있는 42가지 활용법","송명신,최연준,최수진,양서현",앤써북,2026년 06월,10%,"15,930원","17,700원","1,380",4,10.0
40,180513899,클로드 코드를 활용한 바이브 코딩 완벽 입문,"기본 사용법부터 MCP, 병렬 처리, 서브에이전트, 보안 설계와 응용 활용법까지",히라카와 토모히데저/최용역,위키북스,2026년 03월,10%,"23,400원","26,000원","15,141",8,9.5
41,146955725,된다! 하루 만에 끝내는 챗GPT 활용법,인공지능에게 일 시키고 시간 버는 법,프롬프트 크리에이터,이지스퍼블리싱,2025년 06월,10%,"18,000원","20,000원","34,596",99,9.5
42,144648441,구글 시트로 스마트한 학교 만들기 : 교사를 위한 스프레드시트 활용 가이드,실전기초/행정업무/일정관리/담임업무/학급운영/교수평기,"지미정,장성진,유병선",앤써북,2025년 04월,10%,"21,960원","24,400원","19,203",17,9.9
43,187491806,이게 되네? 캔바 AI 미친 활용법 47제,"프레젠테이션, SNS, 인쇄물, 동영상, 광고, 카드 뉴스, 홈페이지, 메일, 템플릿 활용까지 뭐든지 만드는 캔바 디자인 완벽 마스터",이지쌤(이지훈),골든래빗,2026년 05월,10%,"21,600원","24,000원","4,533",15,10.0
44,184533580,학교에서 바로 쓰는 제미나이 & 노트북LM,교사 업무를 덜어 주는 AI 활용법,"손성호,김민,김상백,송유미,박권저 외 1명정보 더 보기/감추기손성호김민김상백송유미박권최동욱",학교도서관저널,2026년 04월,10%,"17,100원","19,000원","11,043",14,10.0
45,189629427,베테랑 AI 전문가가 만든 가장 쉬운 제미나이 활용! Gemini(제미나이)로 무엇이든 만들 수 있다 (AI 비서 영상 만들기 · 유튜브 숏폼),"나노바나나2, 그록 AI, 캡컷 AI, 클링 AI, 폴로 AI, 젠스파크, 리리아3, 수노AI, 노트북LM) | 제미나이 활용 QR코드 예제 수록","송상미,윤소영,강은정",광문각출판미디어,2026년 05월,,"19,000원","19,000원","3,096",26,10.0
46,188882750,승인율 99.9% 움직이는 이모티콘 만들기 with 프로크리에이트,국내 최다 이모티콘 승인 작가 씨엠제이가 알려주는,씨엠제이(최민정),한빛미디어,2026년 05월,10%,"16,200원","18,000원","2,658",16,10.0
47,186833195,자연은 왜 이토록 단순하면서도 아름다운가,현대 물리학이 밝혀낸 세계의 질서,"로버트 칸,크리스 퀴그저/박병철역",알에이치코리아(RHK),2026년 04월,10%,"31,500원","35,000원","7,302",12,10.0
48,159167901,3줄의 글로 수익을 만드는 스레드 운영법,스레드 브랜딩·마케팅·수익화 실전 전략,이동영,한빛미디어,2025년 10월,10%,"18,000원","20,000원","10,698",38,9.6
49,152644865,"누구나 쉽게 AI 작사 & 작곡 with 생성형 인공지능, 챗GPT, 수노, 유디오","음악 장르별 특징 파악부터 가사, 광고, 영화, 대중음악 생성을 위한 프롬프트 실습까지!","현병욱(오땡큐),신수진",시프트,2025년 09월,10%,"18,000원","20,000원","20,178",30,9.7
50,191173742,진짜 쓰는 프리미어 영상 편집 2026 (최신개정판),유튜브 및 SNS 콘텐츠 제작을 위한 동영상 편집 실무 강의 [포토샵 + 애프터 이펙트 연동 부록 PDF 제공],조블리,제이펍,2026년 06월,10%,"23,400원","26,000원","1,044",0,
51,190852162,클로드 코워크,24시간 일하는 나만의 맞춤형 AI 비서,신승희,생능북스,2026년 06월,10%,"21,600원","24,000원","1,542",7,10.0
52,189037004,클로드 디자인 시작하기,퇴근은 내가! 야근은 AI가!,조남경,비엘북스,2026년 05월,10%,"22,500원","25,000원","4,077",0,
53,187519430,에이전트 시대의 AI 시스템 설계,"RAG, 최적화, 가드레일로 완성하는 32가지 프로덕션 패턴","발리아파 락슈마난,하네스 막스 하프케저/류광역",한빛미디어,2026년 04월,10%,"37,800원","42,000원","2,958",12,9.7
54,109625396,혼자 공부하는 파이썬,1:1 과외하듯 배우는 프로그래밍 자습서,윤인성,한빛미디어,2022년 06월,10%,"19,800원","22,000원","21,792",104,9.4
55,191506324,AI 에이전트 실행 세계 1 : 원리편,뉴로심볼릭 월드 모델의 이론과 적용,조쉬,로드북,2026년 06월,10%,"27,000원","30,000원","1,020",0,
56,175110068,요즘 바이브 코딩 코덱스 완벽 가이드,"인공지능 코딩, AI 에이전트, 프롬프트 엔지니어링, 컨텍스트 엔지니어링, AGENTS.md, PRD, 코덱스 클라우드, 수파베이스, Spec Kit 워크플로, 토큰 최적화, 배포, v0, 스킬, 고급 사용법, 오픈라우터",윤재원,골든래빗,2026년 02월,10%,"25,200원","28,000원","5,484",35,9.9
57,135223090,무조건 쿠팡에서 팔아라 그래야 산다,성공 셀러를 위한 쿠팡 판매의 정석!,"하지혜,오대장",우리네삶,2026년 01월,10%,"21,600원","24,000원","4,788",46,10.0
58,191479539,바로바로 챗GPT X 덕테이프 X 코덱스,"인공지능, 에이전트, Image 2.0, 바이브 코딩, 바로 배우고 바로 써먹는 AI 입문서",박현규,골든래빗,2026년 06월,10%,"21,600원","24,000원",780,0,
59,187024885,요즘 바이브 코딩 커서 X 클로드 코드 실전 외주 돈 벌기,"인공지능 코딩, 부업, 수익화, 파이프 라인, 파이썬, 매크로, 엑셀 자동화, 깃허브, 웹 크롤링, API 연동, 커서 룰, CLAUDE.MD, 크몽 생존 전략, 견적 산정, 고객 응대 기술 누적 수익 5천! 비전공자 40대 차장의 AI",불혹코딩,골든래빗,2026년 05월,10%,"23,400원","26,000원","4,392",14,9.9
60,180508055,된다! 조회수 터지는 인스타그램 릴스 만들기,3초 후킹 전략부터 알고리즘의 비밀까지! AI로 빠르게 기획해서 수익화하자!,최지영,이지스퍼블리싱,2026년 03월,10%,"18,900원","21,000원","4,098",74,9.9
61,154099735,밑바닥부터 만들면서 배우는 LLM,GPT를 내 손으로 직접 단계별로 만들어보면서 대규모 언어 모델의 기본기를 탄탄히 채우기,세바스찬 라시카저/박해선역,길벗,2025년 09월,10%,"36,000원","40,000원","11,934",27,9.6
62,191507359,AI 에이전트 실행 세계 2 : 설계편,엔터프라이즈 월드 모델 구축과 운영,조쉬,로드북,2026년 06월,10%,"31,500원","35,000원",840,0,
63,191193818,Do it! 오토캐드 2027 + AI,"건축, 인테리어, 기계 실무에 최적화된 입문서",박한울,이지스퍼블리싱,2026년 06월,10%,"27,900원","31,000원",888,7,10.0
64,189445450,AI 대세전환 안티그래비티 × 바이브 코딩 압도적 업무 역량,"비개발자를 위한 실전 업무 자동화, 웹 크롤링, 웹 서비스","정용범,손상우,박성환",프리렉,2026년 05월,10%,"27,000원","30,000원","1,932",25,10.0
65,184275427,세컨드 브레인은 옵시디언 with 클로드 코드,"입문자를 위한 기초 사용법부터 마크다운, 플러그인, PARA, 제텔카스텐, MCP, 옵시디언 CLI, 스킬, AI 활용까지!",시안,골든래빗,2026년 04월,5%,"23,750원","25,000원","5,277",36,9.8
66,175525819,AI 자율학습 클로드 코드·코덱스 CLI·제미나이 CLI 완전 활용법,한 권으로 끝내는 AI 터미널 도구 3대장 바이브 코딩,Dave Lee,길벗,2026년 02월,10%,"28,800원","32,000원","7,008",25,9.6
67,140835200,이게 되네? 챗GPT 미친 활용법 71제,"7배 더 빠르게, 7배 나은 퀄리티로 진짜 현업에 사용해온 일잘러 오대리의 ‘71가지 미친 업무 자동화’ with o3, 소라, 딥리서치, 프로젝트, 고급 음성모드, GPTs",오힘찬,골든래빗,2025년 01월,10%,"21,600원","24,000원","28,908",259,9.6
68,189857110,취미가 돈이 되는 인스타툰,"인스타그램에서 연재하는 웹툰, 브랜딩부터 수익화까지 다 되는 인스타툰 작가 데뷔 성공 공식 with 프로크리에이트",이건용,시프트,2026년 06월,10%,"19,800원","22,000원","2,280",0,
69,191700749,중국 AI 미래 지도,"딥시크에서 미중 패권까지, 중국은 어떻게 세계 질서를 바꾸는가",임선영저/정진호그림,책만,2026년 06월,10%,"24,300원","27,000원",660,0,
70,151850127,요즘 바이브 코딩 클로드 코드 완벽 가이드,"요금제 선택, CLAUDE.md, Opus, Sonnet, 모델 선택, MCP, PRD, 깃허브 워크플로, UI 프로토타이핑, 인증 구현, 슬래시 커맨드, supabase 연동, 테스트, 배포, 슈퍼 클로드, ccusage, 클로디아 느낌이 좋은 프로그램",최지호,골든래빗,2025년 09월,10%,"21,600원","24,000원","28,779",19,8.5
71,151350143,요즘 교사를 위한 AI 디지털 수업 설계 가이드 with 2022 개정 교육과정,깊이 있는 학습을 위한 디지털 기반 아날로그 수업,"김진관,김상섭,이대형,이상선,윤신영",한빛미디어,2025년 08월,10%,"19,800원","22,000원","9,999",34,9.8
72,142814138,된다! 하루 만에 준비하는 AI 학교 수업 활용법,"with 챗GPT, 캔바, 미리캔버스, 구글 기반 AI","정인걸,김경수",이지스퍼블리싱,2025년 03월,10%,"17,820원","19,800원","17,445",39,10.0
73,125692722,된다! 김메주의 유튜브 채널&영상 만들기,10만 조회수를 만드는 영상·쇼츠의 비밀,김혜주,이지스퍼블리싱,2024년 04월,10%,"17,100원","19,000원","8,280",33,9.7
74,188188392,기계가 언어를 사용한다는 것에 대한 인문학적 사유,LLM 인공지능이 생성하는 글과 말을 어떻게 바라볼 것인가,"마크 코켈버그,데이비드 J.건컬저/신동숙역/손화철감수",생각이음,2026년 04월,10%,"17,100원","19,000원","2,934",0,
75,184675866,딸깍! 바이브 코딩 by 안티그래비티,5분 만에 만드는 업무용 웹 애플리케이션! 45가지 속성 레시피,반병현,생능북스,2026년 04월,10%,"22,500원","25,000원","4,188",30,9.8
76,187954810,"누구나 코딩하는 시대, 1일 10분 바이브 코딩","로또 번호 생성부터 주가 모니터링, 뉴스레터 자동 발행까지. 깃허브 코파일럿과 대화하며 만드는 나만의 자동화 프로그램",김영욱,한빛미디어,2026년 04월,10%,"19,800원","22,000원","2,457",16,10.0
77,185824258,돈이 되네? 수익과 성장이 동시에 터지는 네이버 블로그,"N잡러, 경단녀, 육아맘을 위한 체험단, 애드포스트, 원고료, 브랜드 협업, 제휴마케팅, 쇼핑 커넥트까지 1일 1포스팅 꾸준함으로 완성하는 실전 수익화 비법",정소희,골든래빗,2026년 04월,10%,"23,220원","25,800원","2,952",14,9.9
78,185269651,n8n이 다 해줌,뉴스 요약부터 투자 리포트까지 코드 없이 만드는 AI 자동화 워크플로우,"이인영,임정",한빛미디어,2026년 04월,10%,"25,200원","28,000원","2,664",113,9.9
79,182995232,AI 자율학습 제미나이로 일 잘하는 법,"기획, 마케팅, 디자인, 영업/CS, 인사/교육 직무별 활용 사례, 나노 바나나, 비오, 리리아, 딥 리서치, 캔버스, Gems, NotebookLM, Flow, 구글 AI 스튜디오를 한 권에!",성구(강성규),길벗,2026년 04월,10%,"23,400원","26,000원","3,540",44,9.8
80,180510836,"오픈클로 with GPT, 제미나이, 클로드",내 컴퓨터에서 일하는 AI 집사,강민혁,한빛미디어,2026년 03월,10%,"19,800원","22,000원","11,304",25,9.5
81,172517063,누구나 아는 나만 모르는 제미나이,"세상에서 가장 쉬운 제미나이 & AI 입문서 | Gemini, 구글 워크스페이스, Gems, 노트북LM, 나노바나나 프로, 구글 AI 스튜디오, Veo 3.1, 믹스보드",이성원,한빛미디어,2026년 01월,10%,"17,100원","19,000원","14,013",43,9.5
82,169665962,이게 되네? AI 쇼츠 만들기 미친 자동화 22제,"인공지능으로 쇼츠와 릴스를 자동 제작한다! 콘텐츠 수집부터 스크립트 작성, 영상 제작, 유튜브와 인스타그램 자동 업로드까지 코딩 모르는 초보자도 숏폼으로 수익 창출하는 법",천은영,골든래빗,2026년 01월,10%,"23,400원","26,000원","7,950",10,10.0
83,154925812,AI 엔지니어링,"파운데이션 모델을 활용한 시스템 설계부터 개선까지, AI 앱 개발 원스톱 가이드",칩 후옌저/변성윤역,한빛미디어,2025년 09월,10%,"36,000원","40,000원","14,445",17,9.9
84,111378840,혼자 공부하는 컴퓨터 구조+운영체제,,강민철,한빛미디어,2022년 08월,10%,"25,200원","28,000원","12,972",118,9.8
85,102819435,가상 면접 사례로 배우는 대규모 시스템 설계 기초,,알렉스 쉬저/이병준역,인사이트(insight),2021년 07월,10%,"21,600원","24,000원","7,050",60,9.4
86,189287920,프로덕트 디자이너로 살아남기,"인공지능의 시대, 디자이너의 일",강영화,이오스튜디오,2026년 05월,10%,"17,100원","19,000원","2,142",0,
87,191321951,7가지 생성 AI로 영상 제작 & 편집하기 with 챗GPT & 미드저니 & 런웨이(개정판),"수익형 숏폼, SNS 광고, 단편 영화까지 장비, 배우, 성우 없이 AI 하나로",홍순성,한빛미디어,2026년 06월,10%,"22,500원","25,000원",600,0,
88,189520507,된다! 스레드 활용법,알고리즘 타고 조회수 터지는 글쓰기 공식! 짧은 글로 시작하는 브랜딩 & 수익화,거북이걸음,이지스퍼블리싱,2026년 06월,10%,"19,800원","22,000원","4,383",19,10.0
89,191693950,AI 시대에 개발자가 알아야 할 인프라 구성 배포 with 클로드 코드,"자연어로 구축하고 운영하는 AI 네이티브 시대의 첫 인프라 실습서! AI 에이전트, GCP, AWS, Azure, 코덱스 CLI, 제미나이 CLI, 스타트업, 엔터프라이즈, 바이브코딩, GitAIOps, AI 튜터, 가드레일",조훈,길벗,2026년 06월,10%,"21,600원","24,000원",540,0,
90,189823964,유튜브 AI 비서 고용하기 제미나이 X 노트북LM X 구글 스프레드시트,나만의 ‘슈퍼유튜브시트’ 만들고 데이터로 내 채널 떡상시키기,조현정,골든래빗,2026년 06월,10%,"21,600원","24,000원","2,175",1,10.0
91,187039263,퇴근이 빨라지는 제미나이 & 노트북LM 업무 자동화 정석 엑셀 X AI,,권현욱,디지털북스,2026년 04월,10%,"19,800원","22,000원","2,694",6,10.0
92,186921504,AI 에이전트 개발 완벽 입문,"에이전트 기초부터 RAG, ReAct, 펑션 콜링, 랭그래프, CrewAI, smolagents, A2A, n8n, MCP, 클로드 코드, 오픈클로까지 실전 에이전트 개발을 위한 모든 것","에디 유,김대규,조경아,김현지",위키북스,2026년 04월,10%,"37,800원","42,000원","5,340",23,9.4
93,180516403,피지컬 AI가 온다,피지컬 AI 기술과 투자 지도,권군오,글로벌콘텐츠,2026년 03월,10%,"22,500원","25,000원","1,332",11,9.6
94,177894447,누구나 아는 나만 모르는 챗GPT(개정판) : 세상에서 가장 쉬운 챗GPT & AI 입문서,"ChatGPT, 챗GPT-이미지, 제미나이, 나노바나나 프로, 노트북LM, Sora 2, Suno, 감마, 냅킨",이성원,한빛미디어,2026년 02월,10%,"17,100원","19,000원","4,602",33,9.6
95,174658020,요즘 바이브 코딩 안티그래비티 완벽 가이드,"구글 AI, 제미나이, 스티치, 프롬프트 엔지니어링, 인공지능 에이전트, RAG, 프론트엔드, PRD, TDD, 클린 아키텍처, 리팩터링, 챗봇, 블로그, 랜딩 페이지 더 빠르고 더 견고한 프로그램을 만드는 원리와 방법",최지호,골든래빗,2026년 02월,10%,"25,200원","28,000원","19,206",29,9.8
